id;ActorName;movies_95_04;main_genre;genres
n3374;Moore, Mary Tyler;34;Drama;Comedy:2,Documentary:16,Drama:5,Family:3,Music:1,NULL:4,Romance:2,Thriller:1
n4983;Pounder, CCH;31;Drama;Comedy:1,Documentary:3,Drama:12,Fantasy:2,Horror:2,Musical:1,NULL:3,Romance:1,Sci-Fi:4,Short:1,Thriller:1
n14965;Jaffrey, Javed;10;Romance;Adventure:1,Documentary:1,Drama:1,Family:1,Musical:1,NULL:3,Romance:2
n14023;König, Dietmar;11;Crime;Comedy:3,Crime:3,Drama:2,NULL:1,Romance:1,Thriller:1
n15973;Tovar, Laura;12;Action;Action:3,Adventure:1,Comedy:2,Drama:2,Horror:1,NULL:3
n11953;Sascha (IV);51;Adult;Adult:17,NULL:34
n9982;Gray-Stanford, Jason;22;Drama;Action:2,Animation:2,Comedy:2,Crime:3,Drama:3,Mystery:2,Romance:1,Sci-Fi:3,Short:1,Thriller:3
n15168;Ryu, Daisuke;13;Romance;Action:1,Crime:1,NULL:9,Romance:1,Thriller:1
n14589;Bakay, Nick;14;Comedy;Comedy:4,Documentary:1,Fantasy:4,NULL:2,Romance:1,Sci-Fi:1,Short:1
n1989;Bravo, Dino;40;Adult;Adult:23,Comedy:1,Drama:1,NULL:14,Thriller:1
n15154;Oda, Yuji;12;Drama;Comedy:1,Crime:1,Drama:4,NULL:5,War:1
n12572;Gregorek, Karin;20;Drama;Comedy:1,Crime:4,Drama:7,Family:1,NULL:4,Romance:1,Thriller:2
n7541;Jammer, Cal;13;Adult;Adult:10,NULL:2,Sci-Fi:1
n3066;Knüfken, Markus;33;Comedy;Action:1,Comedy:10,Crime:6,Drama:4,NULL:2,Romance:2,Short:6,Thriller:1,War:1
n13684;Fassio, Anne;12;Drama;Comedy:1,Drama:2,NULL:5,Romance:1,Short:3
n1075;Caselli, Chiara;15;Thriller;Adventure:1,Comedy:1,Drama:3,NULL:5,Romance:1,Thriller:3,War:1
n17072;Liska, Pavel (I);18;Comedy;Comedy:5,Crime:1,Documentary:3,Drama:4,Family:1,Fantasy:1,Horror:1,NULL:1,Romance:1
n12524;Monti (I);15;Adult;Adult:11,NULL:4
n10936;Casados, Eloy;10;Crime;Adult:1,Adventure:1,Comedy:1,Crime:2,Drama:2,Fantasy:1,Mystery:1,Sci-Fi:1
n1302;Yamazaki, Wakana;23;Action;Action:5,Animation:2,Comedy:1,Fantasy:3,Mystery:2,NULL:5,Romance:1,Sci-Fi:4
n9077;Fonda, Jane;25;Comedy;Comedy:1,Documentary:15,NULL:6,Romance:1,Short:2
n14495;Higginson, Torri;19;Sci-Fi;Action:2,Comedy:1,Drama:3,Family:1,Romance:1,Sci-Fi:4,Short:2,Thriller:4,War:1
n1591;Wild, Sharon;70;Adult;Adult:41,Drama:1,Mystery:1,NULL:24,Romance:1,Short:1,Thriller:1
n16346;Bailey, Bill (IV);12;Comedy;Comedy:5,Documentary:1,Drama:1,Music:1,NULL:3,Short:1
n16632;Ammelrooy, Willeke van;11;Drama;Comedy:1,Drama:3,Family:2,Horror:1,Mystery:1,NULL:3
n4646;Zeplichal, Vitus;10;Thriller;Comedy:2,Crime:1,Drama:1,NULL:3,Thriller:3
n2690;Lemmy;15;Music;Action:1,Comedy:1,Documentary:5,Drama:1,Horror:3,Music:4
n6712;Turner, Tyrin;10;Action;Action:2,Animation:1,Comedy:1,Crime:1,Documentary:1,Drama:2,NULL:2
n11733;Franco, Suely;11;Drama;Drama:2,Fantasy:1,NULL:6,Romance:1,Thriller:1
n8905;Medeiros, Elli;10;Romance;Comedy:2,Drama:1,NULL:2,Romance:3,Short:2
n16261;Basedow, Rainer;15;Comedy;Action:1,Comedy:6,Crime:3,NULL:3,Short:2
n3280;Lawrence, Martin (I);20;Crime;Comedy:3,Crime:5,Documentary:6,Drama:1,Family:1,Fantasy:1,NULL:1,Romance:1,Short:1
n13789;Brückner, Christian;21;Thriller;Crime:4,Documentary:1,Drama:3,NULL:4,Sci-Fi:2,Short:2,Thriller:4,War:1
n2770;Kramer, Ann-Kathrin;37;Crime;Comedy:6,Crime:12,Drama:7,NULL:3,Romance:2,Thriller:7
n4576;Bracho, Diana;14;Romance;Adventure:1,Comedy:1,Drama:1,NULL:6,Romance:5
n17834;Lawlor, Gerri;10;Romance;Adventure:1,Comedy:1,Family:1,Fantasy:2,NULL:1,Romance:2,Short:2
n3218;Spear, Susie;10;Comedy;Adventure:1,Comedy:4,Crime:1,Drama:3,Romance:1
n17109;Guillory, Sienna;15;Thriller;Comedy:1,Documentary:1,Drama:2,NULL:4,Short:4,Thriller:3
n2947;Whitehouse, Paul (I);23;Comedy;Adventure:1,Comedy:7,Crime:1,Documentary:3,Drama:1,Family:1,Music:1,NULL:5,Short:3
n15988;Sampson, Holly;25;Adult;Adult:5,Adventure:1,Drama:4,Fantasy:2,Horror:1,Mystery:1,NULL:7,Romance:4
n6065;Leysen, Johan;33;Drama;Crime:3,Drama:11,Mystery:1,NULL:7,Romance:3,Sci-Fi:1,Thriller:6,War:1
n144;Bailey (I);18;Adult;Adult:15,NULL:3
n15623;Wagner, Victor;12;Drama;Drama:3,NULL:9
n107;Amore, Alexis;74;Adult;Adult:59,Fantasy:1,NULL:14
n1624;Hart, Veronica;39;Adult;Adult:16,Comedy:1,Documentary:8,Drama:4,Horror:1,NULL:7,Sci-Fi:2
n16121;Namiki, Shirô;10;Horror;Comedy:1,Horror:2,Music:1,Mystery:1,NULL:4,Thriller:1
n8352;Hasselhoff, David;25;Comedy;Action:2,Adult:1,Adventure:2,Comedy:6,Documentary:6,Drama:2,Family:1,Musical:1,NULL:1,Romance:1,Sci-Fi:1,Short:1
n5006;Hanner, Zach;10;Drama;Adventure:1,Comedy:1,Drama:3,Fantasy:1,NULL:1,Romance:1,Thriller:2
n16820;Enoches, Deana;11;Horror;Crime:1,Drama:1,Fantasy:1,Horror:3,NULL:3,Short:1,Thriller:1
n14280;Gonzales, Jeffrey;12;Drama;Drama:8,NULL:1,Romance:3
n6172;Stalin, Joseph;38;War;Documentary:23,Drama:3,NULL:3,Short:2,War:7
n5565;Hare, Kevin (I);12;Drama;Drama:6,Music:1,Mystery:2,NULL:1,Romance:1,Thriller:1
n5269;Thomsen, Ulrich;40;Drama;Action:1,Adventure:1,Comedy:6,Documentary:2,Drama:10,Family:1,Horror:1,NULL:4,Romance:1,Short:6,Thriller:6,War:1
n17548;Libanon, Mike;11;Drama;Comedy:1,Crime:1,Drama:3,NULL:3,Short:2,Thriller:1
n15364;Lynch, John (I);12;Drama;Comedy:1,Drama:5,NULL:2,Romance:1,Short:1,Thriller:2
n5386;Guerrero Jr., Chavo;28;Action;Action:18,Animation:1,Drama:1,NULL:6,Thriller:2
