,name,degree_weighted_g0,degree_g0,ActorName,movies_95_04,main_genre,Short,Action,Crime,Mystery,Documentary,Horror,Sci-Fi,Comedy,Animation,Family,Fantasy,Thriller,Western,Adult,Romance,Adventure,War,Drama,Musical,Music,max_triangles,betweenness,closeness,pagerank,eigenvector
6552,n13939,8.0,4,"Goity, Gabriel",22,Drama,0,0,1,1,1,0,1,3,0,2,0,3,0,0,2,0,0,6,0,0,0.3076923076923077,274.7355083970271,0.08369015367648822,1.8238090917188238e-05,1.6480238039947814e-12
6553,n14297,28.0,12,"Larnicol, Elise",12,Comedy,2,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0.6239316239316239,2301.2306660822073,0.0977623435180777,3.3849498314349014e-05,7.393322829890556e-12
6554,n10843,30.0,14,"Jones, Andy (II)",13,Comedy,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0.5128205128205129,1455.3612055237838,0.10194319356590913,4.2622739321535375e-05,4.14214563117016e-09
6555,n6864,90.0,44,"Owen, Lisa",10,Romance,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0.38095238095238093,44797.41566907371,0.12364429772674143,5.930943184015327e-05,4.807896853489463e-06
6556,n14812,4.0,2,"Arnoul, Françoise",11,Comedy,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,8.693621312291258,0.09788350886638178,1.3433936966239303e-05,5.233597982696084e-09
6557,n7632,117.0,49,"Nemec, Miroslav",53,Crime,1,0,26,0,1,0,0,4,0,0,0,4,0,0,4,1,0,8,0,0,0.08633879781420765,93053.03526248563,0.05651671313251022,0.0001446658081677296,5.596601180201142e-17
6558,n13073,5.0,2,"Kazan, Lainie",20,Comedy,0,0,0,0,1,0,0,7,0,0,0,2,0,0,4,0,0,2,1,1,0.18181818181818182,5.833333333333333,0.08632218243684346,2.033725571730128e-05,7.029313592953946e-14
6559,n8735,15.0,7,"Farley, Kevin P.",18,Comedy,1,0,0,0,0,0,0,10,0,0,1,0,0,0,1,1,0,0,1,3,0.3161764705882353,11578.323575695475,0.10560069698638093,2.6951599221975726e-05,7.951007966468277e-09
6560,n2287,222.0,70,"Wohlfeil, Peter",10,Crime,0,0,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.13333333333333333,4894.265783596591,0.10085111546395327,5.2147418579672484e-05,2.6291174497948384e-06
6561,n13092,126.0,47,"Kener, Kira",33,Adult,1,0,0,0,2,2,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0.5195791934541204,1201.694158515068,0.09607530137061705,3.172330187500498e-05,1.1243481750729483e-06
